V_actual,OMEGA_actual,V_ref,OMEGA_ref
1.3442682623078997e-06,7.664199834905723e-06,0,0
1.3443000862028734e-06,7.664389876266559e-06,0,0
1.3443210966986498e-06,7.664515343244857e-06,0,0
1.3443529254824151e-06,7.664705413623562e-06,0,0
1.344384756552866e-06,7.664895497193767e-06,0,0
1.3444165919003248e-06,7.665085606156463e-06,0,0
1.344448418711377e-06,7.665275664387308e-06,0,0
1.3444802562686852e-06,7.665465786405284e-06,0,0
1.3445229043168628e-06,7.665720464893792e-06,0,0
1.3445547370230825e-06,7.665910557791536e-06,0,0
1.344575743487091e-06,7.666036000498012e-06,0,0
1.3446075788649267e-06,7.666226109092345e-06,0,0
1.3446394092435475e-06,7.666416187949523e-06,0,0
1.3446712437427655e-06,7.66660629116106e-06,0,0
1.3447030750482888e-06,7.666796375362276e-06,0,0
1.3447349067824446e-06,7.666986461918748e-06,0,0
1.34476674175104e-06,7.667176567876002e-06,0.2,0.0
1.3447985756833979e-06,7.66736666723909e-06,0.2,0.0
1.3448412300843614e-06,7.667621382161464e-06,0.2,0.0
0.08890220524607079,4.397174506778193e-05,0.2,0.0
0.1455046297438199,2.6061176367940102e-05,0.2,0.0
0.20013653714867946,0.00012594687985519553,0.2,0.0
0.19905927038038115,0.0002405927255000369,0.2,0.0
0.19978341399323166,0.0001464456543788869,0.2,0.0
0.19992959763308407,8.533627655208954e-05,0.2,0.0
0.20023424699524858,4.172150674738965e-05,0.2,0.0
0.20028947280582174,5.560871581445017e-05,0.2,0.0
0.19935157538316517,0.0003151075692672739,0.2,0.0
0.19974799538386936,0.0001958567287310011,0.2,0.0
0.19996696449582393,6.681708523295867e-05,0.2,0.0
0.20011248306973406,9.698124930918658e-05,0.2,0.0
0.2003177133490599,2.4388898672303702e-05,0.2,0.0
0.19990649244567124,0.00021821520193768634,0.2,0.0
0.19970873081724644,0.00023500410597444458,0.2,0.0
0.19984502550594646,0.0001341083856643491,0.2,0.0
0.20006598331656042,0.00013609848861548474,0.2,0.0
0.200291626073047,2.2151531493193042e-05,0.2,0.0
0.20008748982104602,0.000360396923365805,0.2,0.0
0.19982376658286505,0.0002239272533047846,0.2,0.0
0.19980507904121383,0.00015819925063473533,0.2,0.0
0.20010589100949044,9.853090333061819e-05,0.2,0.0
0.2002571303201361,2.8720774979716518e-05,0.2,0.0
0.20016510154139652,0.00019402079352829176,0.2,0.0
0.199690081669026,0.00019025244428650455,0.2,0.0
0.1998388851223922,0.00013687584373317115,0.2,0.0
0.20005761163398733,0.00015652202207701836,0.2,0.0
0.20021769250109525,4.170656890542166e-05,0.2,0.0
0.2001028329707847,0.000442616143978229,0.2,0.0
0.19975977884574456,0.0003097562047129436,0.2,0.0
0.19973530144232748,0.00020193469562255359,0.2,0.0
0.2000237472025127,9.157552415668476e-05,0.2,0.0
0.20025145699858862,2.805511793007264e-05,0.2,0.0
0.20027205302802786,6.893093341481225e-05,0.2,0.0
0.19901134042413393,0.0009432503025979278,0.2,0.0
0.1997098811907133,0.00021862687919074132,0.2,0.0
0.19990548743207673,9.551769787692347e-05,0.2,0.0
0.2002114966904583,4.1818065500019943e-05,0.2,0.0
0.20030920176894706,2.221551116717319e-05,0.2,0.0
0.19975788618015514,0.0008044467444725164,0.2,0.0
0.19973094727013935,0.00020422676305129943,0.2,0.0
0.19986315920513176,0.00012112221325178104,0.2,0.0
0.20008769544419844,0.00010487982534316508,0.2,0.0
0.20027831715296796,5.9180530308765196e-05,0.2,0.0
0.20003596664890236,0.00095752029453466,0.2,0.0
0.19974311145172066,0.0002450125924726996,0.2,0.0
0.16797075203693063,0.001004662657663894,0.0,-0.3141592653589793
0.06997564632624986,0.000450146243395429,0.0,-0.3141592653589793
0.02240994391815965,-0.16867382612136406,0.0,-0.3141592653589793
0.0028191813047540974,-0.3134703500575906,0.0,-0.3141592653589793
0.002823488244836399,-0.3136625582033379,0.0,-0.3141592653589793
0.0028307131368564132,-0.3139503245111244,0.0,-0.3141592653589793
0.002838405572630749,-0.31434177541237857,0.0,-0.3141592653589793
0.002842006756146685,-0.3146205603913945,0.0,-0.3141592653589793
0.002842707486959721,-0.3147814352486516,0.0,-0.3141592653589793
0.002827639156150413,-0.31475482393658355,0.0,-0.3141592653589793
0.0028137308798046093,-0.31439742667013565,0.0,-0.3141592653589793
0.0028033950361589315,-0.3141032066384156,0.0,-0.3141592653589793
0.002774128027684835,-0.3133753040210999,0.0,-0.3141592653589793
0.001697211842943262,-0.283037587997087,0.0,-0.3141592653589793
0.002474081046083969,-0.3025821642783416,0.0,-0.3141592653589793
